epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,64.1863,0.06785,0.70199,1,0.03957,0.000326797,0.000326797,0.0676471
2,137.413,0.04653,0.7947,1,0.05573,0.000627454,0.000627454,0.0346144
3,210.928,0.04564,0.86755,1,0.08767,0.000895111,0.000895111,0.00154871
4,284.682,0.04762,0.80132,1,0.05807,0.0008515,0.0008515,0.0008515
5,358.155,0.04432,0.4702,1,0.07903,0.000802,0.000802,0.000802
6,431.683,0.0376,0.78808,1,0.06318,0.0007525,0.0007525,0.0007525
7,504.915,0.03571,0.8543,1,0.08209,0.000703,0.000703,0.000703
8,578.387,0.02984,0.84106,1,0.06868,0.0006535,0.0006535,0.0006535
9,652.299,0.02706,0.78146,1,0.05281,0.000604,0.000604,0.000604
10,726.256,0.02783,0.84106,1,0.06536,0.0005545,0.0005545,0.0005545
11,800.422,0.02594,0.76821,1,0.05443,0.000505,0.000505,0.000505
12,874.616,0.02709,0.84768,1,0.06181,0.0004555,0.0004555,0.0004555
13,948.55,0.02532,0.80795,1,0.05847,0.000406,0.000406,0.000406
14,1022.59,0.02249,0.84106,1,0.05998,0.0003565,0.0003565,0.0003565
15,1096.33,0.02194,0.81457,1,0.06588,0.000307,0.000307,0.000307
16,1169.88,0.02541,0.78146,1,0.06206,0.0002575,0.0002575,0.0002575
17,1243.74,0.02333,0.86755,1,0.08502,0.000208,0.000208,0.000208
18,1318.11,0.02108,0.81457,1,0.06268,0.0001585,0.0001585,0.0001585
19,1391.62,0.02416,0.83444,1,0.07042,0.000109,0.000109,0.000109
20,1464.9,0.02179,0.8543,1,0.06731,5.95e-05,5.95e-05,5.95e-05
