threshold,accuracy,precision,recall,f1_score,tp,fp,tn,fn
0.1,0.8355,0.4524,0.9048,0.6032,19,23,108,2
0.15,0.8816,0.5429,0.9048,0.6786,19,16,115,2
0.2,0.8882,0.5588,0.9048,0.6909,19,15,116,2
0.25,0.8816,0.5455,0.8571,0.6667,18,15,116,3
0.3,0.8816,0.5484,0.8095,0.6538,17,14,117,4
0.35,0.8947,0.5862,0.8095,0.68,17,12,119,4
0.4,0.8882,0.5714,0.7619,0.6531,16,12,119,5
0.45,0.8882,0.5769,0.7143,0.6383,15,11,120,6
0.5,0.8816,0.5714,0.5714,0.5714,12,9,122,9
0.55,0.8816,0.5789,0.5238,0.55,11,8,123,10
