threshold,accuracy,precision,recall,f1_score,tp,fp,tn,fn
0.1,0.5921,0.253,1.0,0.4038,21,62,69,0
0.15,0.7434,0.3448,0.9524,0.5063,20,38,93,1
0.2,0.7895,0.383,0.8571,0.5294,18,29,102,3
0.25,0.8289,0.439,0.8571,0.5806,18,23,108,3
0.3,0.875,0.5294,0.8571,0.6545,18,16,115,3
0.35,0.8816,0.5455,0.8571,0.6667,18,15,116,3
0.4,0.8816,0.5455,0.8571,0.6667,18,15,116,3
0.45,0.9079,0.6296,0.8095,0.7083,17,10,121,4
0.5,0.9145,0.6538,0.8095,0.7234,17,9,122,4
0.55,0.9145,0.7,0.6667,0.6829,14,6,125,7
