threshold,accuracy,precision,recall,f1_score,tp,fp,tn,fn
0.1,0.6513,0.2647,0.8571,0.4045,18,50,81,3
0.15,0.7829,0.3696,0.8095,0.5075,17,29,102,4
0.2,0.8092,0.4048,0.8095,0.5397,17,25,106,4
0.25,0.8684,0.5152,0.8095,0.6296,17,16,115,4
0.3,0.875,0.5312,0.8095,0.6415,17,15,116,4
0.35,0.8947,0.5926,0.7619,0.6667,16,11,120,5
0.4,0.8816,0.5652,0.619,0.5909,13,10,121,8
0.45,0.8947,0.619,0.619,0.619,13,8,123,8
0.5,0.8882,0.6,0.5714,0.5854,12,8,123,9
0.55,0.8947,0.6316,0.5714,0.6,12,7,124,9
