threshold,accuracy,precision,recall,f1_score,tp,fp,tn,fn
0.1,0.8355,0.4474,0.8095,0.5763,17,21,110,4
0.15,0.8816,0.5517,0.7619,0.64,16,13,118,5
0.2,0.8947,0.5926,0.7619,0.6667,16,11,120,5
0.25,0.9079,0.64,0.7619,0.6957,16,9,122,5
0.3,0.9211,0.6957,0.7619,0.7273,16,7,124,5
0.35,0.9276,0.7273,0.7619,0.7442,16,6,125,5
0.4,0.9342,0.7895,0.7143,0.75,15,4,127,6
0.45,0.9408,0.8333,0.7143,0.7692,15,3,128,6
0.5,0.9408,0.8333,0.7143,0.7692,15,3,128,6
0.55,0.9276,0.8571,0.5714,0.6857,12,2,129,9
