threshold,accuracy,precision,recall,f1_score,tp,fp,tn,fn
0.1,0.7237,0.3019,0.7619,0.4324,16,37,94,5
0.15,0.8289,0.4286,0.7143,0.5357,15,20,111,6
0.2,0.8553,0.4828,0.6667,0.56,14,15,116,7
0.25,0.8684,0.5185,0.6667,0.5833,14,13,118,7
0.3,0.8684,0.5185,0.6667,0.5833,14,13,118,7
0.35,0.8816,0.56,0.6667,0.6087,14,11,120,7
0.4,0.8816,0.5652,0.619,0.5909,13,10,121,8
0.45,0.8947,0.6316,0.5714,0.6,12,7,124,9
0.5,0.9079,0.7692,0.4762,0.5882,10,3,128,11
0.55,0.9079,0.7692,0.4762,0.5882,10,3,128,11
