threshold,accuracy,precision,recall,f1_score,tp,fp,tn,fn
0.1,0.9079,0.6207,0.8571,0.72,18,11,120,3
0.15,0.9211,0.6667,0.8571,0.75,18,9,122,3
0.2,0.9211,0.68,0.8095,0.7391,17,8,123,4
0.25,0.9276,0.7083,0.8095,0.7556,17,7,124,4
0.3,0.9211,0.6957,0.7619,0.7273,16,7,124,5
0.35,0.9145,0.6818,0.7143,0.6977,15,7,124,6
0.4,0.9145,0.6818,0.7143,0.6977,15,7,124,6
0.45,0.9145,0.6818,0.7143,0.6977,15,7,124,6
0.5,0.9211,0.7143,0.7143,0.7143,15,6,125,6
0.55,0.9211,0.7368,0.6667,0.7,14,5,126,7
