threshold,accuracy,precision,recall,f1_score,tp,fp,tn,fn
0.1,0.1382,0.1382,1.0,0.2428,21,131,0,0
0.15,0.1382,0.1382,1.0,0.2428,21,131,0,0
0.2,0.1711,0.1429,1.0,0.25,21,126,5,0
0.25,0.5592,0.2195,0.8571,0.3495,18,64,67,3
0.3,0.8224,0.4286,0.8571,0.5714,18,24,107,3
0.35,0.8158,0.4,0.6667,0.5,14,21,110,7
0.4,0.8355,0.4286,0.5714,0.4898,12,16,115,9
0.45,0.8816,0.5714,0.5714,0.5714,12,9,122,9
0.5,0.9013,0.75,0.4286,0.5455,9,3,128,12
0.55,0.8882,0.7,0.3333,0.4516,7,3,128,14
