threshold,accuracy,precision,recall,f1_score,tp,fp,tn,fn
0.1,0.6711,0.2698,0.8095,0.4048,17,46,85,4
0.15,0.7895,0.3721,0.7619,0.5,16,27,104,5
0.2,0.8553,0.4848,0.7619,0.5926,16,17,114,5
0.25,0.9013,0.625,0.7143,0.6667,15,9,122,6
0.3,0.8947,0.6087,0.6667,0.6364,14,9,122,7
0.35,0.8947,0.619,0.619,0.619,13,8,123,8
0.4,0.8882,0.6111,0.5238,0.5641,11,7,124,10
0.45,0.875,0.5714,0.381,0.4571,8,6,125,13
0.5,0.875,0.5833,0.3333,0.4242,7,5,126,14
0.55,0.8947,0.7778,0.3333,0.4667,7,2,129,14
