threshold,accuracy,precision,recall,f1_score,tp,fp,tn,fn
0.1,0.9013,0.625,0.7143,0.6667,15,9,122,6
0.15,0.9079,0.6522,0.7143,0.6818,15,8,123,6
0.2,0.9013,0.6364,0.6667,0.6512,14,8,123,7
0.25,0.9013,0.6364,0.6667,0.6512,14,8,123,7
0.3,0.8947,0.619,0.619,0.619,13,8,123,8
0.35,0.9013,0.65,0.619,0.6341,13,7,124,8
0.4,0.9013,0.65,0.619,0.6341,13,7,124,8
0.45,0.9013,0.65,0.619,0.6341,13,7,124,8
0.5,0.9013,0.65,0.619,0.6341,13,7,124,8
0.55,0.9013,0.65,0.619,0.6341,13,7,124,8
