threshold,accuracy,precision,recall,f1_score,tp,fp,tn,fn
0.1,0.4868,0.2,0.9048,0.3276,19,76,55,2
0.15,0.6842,0.2545,0.6667,0.3684,14,41,90,7
0.2,0.7566,0.2895,0.5238,0.3729,11,27,104,10
0.25,0.8224,0.3929,0.5238,0.449,11,17,114,10
0.3,0.8158,0.36,0.4286,0.3913,9,16,115,12
0.35,0.8355,0.4091,0.4286,0.4186,9,13,118,12
0.4,0.8487,0.45,0.4286,0.439,9,11,120,12
0.45,0.8553,0.4706,0.381,0.4211,8,9,122,13
0.5,0.8553,0.4615,0.2857,0.3529,6,7,124,15
0.55,0.8618,0.5,0.2381,0.3226,5,5,126,16
