threshold,accuracy,precision,recall,f1_score,tp,fp,tn,fn
0.1,0.8158,0.3871,0.5714,0.4615,12,19,112,9
0.15,0.8092,0.3667,0.5238,0.4314,11,19,112,10
0.2,0.8092,0.3667,0.5238,0.4314,11,19,112,10
0.25,0.8289,0.4074,0.5238,0.4583,11,16,115,10
0.3,0.8421,0.44,0.5238,0.4783,11,14,117,10
0.35,0.8487,0.4545,0.4762,0.4651,10,12,119,11
0.4,0.8487,0.4545,0.4762,0.4651,10,12,119,11
0.45,0.8487,0.45,0.4286,0.439,9,11,120,12
0.5,0.8553,0.4737,0.4286,0.45,9,10,121,12
0.55,0.8618,0.5,0.4286,0.4615,9,9,122,12
