model,w_glaucoma,w_normal,best_f1_threshold,best_f1,precision_at_best_f1,recall_at_best_f1,accuracy_at_best_f1
yolo11s,3.0,0.5,0.2,0.64,0.5517,0.7619,0.8816
yolo11l,3.0,0.5,0.15,0.6939,0.6071,0.8095,0.9013
yolo11s,4.0,0.4,0.15,0.6818,0.6522,0.7143,0.9079
yolo11l,4.0,0.4,0.25,0.449,0.3929,0.5238,0.8224
yolo11s,5.0,0.3,0.15,0.6939,0.6071,0.8095,0.9013
yolo11l,5.0,0.3,0.3,0.4783,0.44,0.5238,0.8421
yolo11s,6.0,0.25,0.15,0.6977,0.6818,0.7143,0.9145
yolo11l,6.0,0.25,0.2,0.7234,0.6538,0.8095,0.9145
