threshold,accuracy,precision,recall,f1_score,tp,fp,tn,fn
0.1,0.875,0.5312,0.8095,0.6415,17,15,116,4
0.15,0.9013,0.6071,0.8095,0.6939,17,11,120,4
0.2,0.8947,0.5926,0.7619,0.6667,16,11,120,5
0.25,0.9013,0.6154,0.7619,0.6809,16,10,121,5
0.3,0.9013,0.625,0.7143,0.6667,15,9,122,6
0.35,0.9079,0.6522,0.7143,0.6818,15,8,123,6
0.4,0.8882,0.6,0.5714,0.5854,12,8,123,9
0.45,0.8882,0.6,0.5714,0.5854,12,8,123,9
0.5,0.8882,0.6111,0.5238,0.5641,11,7,124,10
0.55,0.8947,0.6471,0.5238,0.5789,11,6,125,10
