threshold,accuracy,precision,recall,f1_score,tp,fp,tn,fn
0.1,0.9079,0.6522,0.7143,0.6818,15,8,123,6
0.15,0.9145,0.6818,0.7143,0.6977,15,7,124,6
0.2,0.9079,0.6667,0.6667,0.6667,14,7,124,7
0.25,0.9079,0.6667,0.6667,0.6667,14,7,124,7
0.3,0.9145,0.7,0.6667,0.6829,14,6,125,7
0.35,0.9079,0.6842,0.619,0.65,13,6,125,8
0.4,0.9079,0.6842,0.619,0.65,13,6,125,8
0.45,0.9013,0.6667,0.5714,0.6154,12,6,125,9
0.5,0.9013,0.6875,0.5238,0.5946,11,5,126,10
0.55,0.9013,0.6875,0.5238,0.5946,11,5,126,10
