epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,64.1442,0.05623,0.71523,1,0.04328,0.000326797,0.000326797,0.0676471
2,130.147,0.04789,0.72185,1,0.04096,0.000627454,0.000627454,0.0346144
3,196.07,0.03871,0.70199,1,0.03784,0.000895111,0.000895111,0.00154871
4,262.911,0.03628,0.77483,1,0.04043,0.0008515,0.0008515,0.0008515
5,328.967,0.03324,0.76159,1,0.03843,0.000802,0.000802,0.000802
6,395.189,0.0285,0.84106,1,0.03819,0.0007525,0.0007525,0.0007525
7,459.899,0.02712,0.8543,1,0.06153,0.000703,0.000703,0.000703
8,524.664,0.02727,0.66887,1,0.03924,0.0006535,0.0006535,0.0006535
9,589.746,0.02739,0.78146,1,0.0445,0.000604,0.000604,0.000604
10,655.205,0.02589,0.74172,1,0.04404,0.0005545,0.0005545,0.0005545
11,718.932,0.02614,0.68212,1,0.04565,0.000505,0.000505,0.000505
12,783.913,0.02807,0.71523,1,0.03678,0.0004555,0.0004555,0.0004555
13,849.937,0.02587,0.84768,1,0.04244,0.000406,0.000406,0.000406
14,915.647,0.0231,0.87417,1,0.04997,0.0003565,0.0003565,0.0003565
15,979.756,0.0218,0.84768,1,0.04606,0.000307,0.000307,0.000307
16,1044.03,0.02272,0.86755,1,0.06347,0.0002575,0.0002575,0.0002575
17,1108.75,0.02387,0.86755,1,0.05982,0.000208,0.000208,0.000208
18,1174.69,0.02051,0.86755,1,0.05161,0.0001585,0.0001585,0.0001585
19,1239.43,0.01848,0.86755,1,0.05655,0.000109,0.000109,0.000109
20,1304.75,0.02033,0.86755,1,0.05693,5.95e-05,5.95e-05,5.95e-05
